id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
4321073,Privatzimmer Am Treptower Park,22434950,Anita,Treptow - Köpenick,Plänterwald,52.48522,13.46519,Private room,40,1,18,2019-09-07,0.30,1,348
4324488,Cosy little room to rent,17606822,Janis,Mitte,Parkviertel,52.55411,13.34391,Private room,25,1,5,2016-01-03,0.08,2,0
4326410,bohemian artist apartment -neukölln,368264,Be Home,Neukölln,Neuköllner Mitte/Zentrum,52.47149,13.43004,Entire home/apt,65,1,165,2019-10-30,2.69,2,344
4327492,Cozy Flat in Neukölln,1533440,Johannes,Neukölln,Neuköllner Mitte/Zentrum,52.47716,13.43823,Entire home/apt,38,3,2,2015-03-24,0.03,1,0
4331650,"Superb stay in large, bright attic in Berlin Mitte",3176824,Chris,Mitte,Alexanderplatz,52.52874,13.40027,Private room,90,2,7,2019-09-26,0.11,1,0
4335533,In the middle of Berlin-Mitte up to 6 guests,22511671,Rainer,Mitte,Alexanderplatz,52.52635,13.40845,Entire home/apt,100,3,375,2019-11-01,6.19,1,136
4341691,Berlin Mitte Rosenthaler / Zionskirchplatz  2,7121464,Thomas,Mitte,Brunnenstr. Süd,52.53562,13.40043,Private room,80,5,22,2019-10-13,0.63,2,357
4342108,Cosy Design Studio Prenzlauer Berg with 2 Bikes,1373074,Ze,Pankow,Prenzlauer Berg Nordwest,52.55097,13.40128,Entire home/apt,79,2,255,2019-09-16,4.21,2,344
4345018,Cozy 2-room apartment,22557348,Andre,Pankow,Prenzlauer Berg Ost,52.52785,13.45028,Entire home/apt,43,3,1,2016-01-09,0.02,1,0
4346575,Spacious apartment in Fhain,21317007,Benoit,Friedrichshain-Kreuzberg,Frankfurter Allee Nord,52.51641,13.47451,Entire home/apt,47,2,12,2019-10-29,0.25,1,286
4349233,Cosy Artist Apartment with balcony in Prenzl'berg!,4035721,Anna,Pankow,Prenzlauer Berg Ost,52.53661,13.4333,Entire home/apt,75,2,13,2019-08-17,0.49,1,70
4352958,Maisonette apartment with a rooftop terrasse,22597677,Masa,Charlottenburg-Wilm.,Neue Kantstraße,52.50856,13.28447,Entire home/apt,85,4,17,2019-10-18,0.89,1,0
4353760,30m² In Neukölln,22601158,Johannes,Neukölln,Rixdorf,52.48577,13.44975,Private room,27,1,0,,,1,0
4357372,Spectacular view over the Tiergarten,22618025,Richard & Katrin,Mitte,Moabit Ost,52.52047,13.34629,Entire home/apt,44,93,2,2017-08-06,0.04,1,184
4360762,Beautiful home in heart of Neukölln,12837915,Rosa,Neukölln,Reuterstraße,52.48726,13.42688,Entire home/apt,70,1,2,2014-10-23,0.03,1,0
4360816,Sunny 2+1- Room Apartment in Center West.,22637356,Irene,Tempelhof - Schöneberg,Schöneberg-Nord,52.49529,13.35931,Entire home/apt,135,2,123,2019-11-08,2.02,1,52
4361101,"Bedroom Penthouse Apt, 3-Minute Walk to Trade Show",18543785,Bruce,Charlottenburg-Wilm.,Neue Kantstraße,52.50731,13.28519,Private room,37,5,46,2019-03-10,0.85,1,0
4361687,"Bright, big room near canal",22640091,Thain,Neukölln,Reuterstraße,52.49114,13.42411,Private room,46,4,32,2019-09-23,0.52,1,0
4361737,Cosy Room in middle of Warschauer Street,22641272,Dor,Friedrichshain-Kreuzberg,Karl-Marx-Allee-Süd,52.51108,13.45156,Private room,49,2,33,2019-11-14,4.67,1,225
4362177,"Huge, bright + light room",1636968,Alice (And Tim!),Tempelhof - Schöneberg,Tempelhof,52.48378,13.38149,Private room,40,3,145,2019-11-04,2.37,2,276
4362839,"Centrally located room, Prenz. Berg",3796250,Sabine,Mitte,Brunnenstr. Süd,52.53502,13.40475,Private room,45,2,140,2019-10-25,2.65,1,2
4365662,Creative House w/ Large Terrace,14862080,Ai-Ling,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.49081,13.42337,Private room,52,2,106,2019-09-21,1.74,1,8
4367882,Great Loft /  Prenzlauer Berg,1203242,Philip,Pankow,Prenzlauer Berg Nord,52.54636,13.4246,Entire home/apt,110,7,0,,,1,0
4368303,"Anspruchsvolles, Apartment un Berli",22675898,Rolf-Dieter,Lichtenberg,Karlshorst,52.48108,13.5112,Entire home/apt,45,60,7,2019-08-14,0.15,5,365
4369073,TIERGARTEN. Private Room.,22680449,Cora,Mitte,Moabit Ost,52.5237,13.36003,Private room,25,3,94,2018-12-13,1.55,1,0
4375818,"Cozy, quiet and light flat in Mitte",22718498,Lena,Mitte,Moabit West,52.52969,13.33442,Entire home/apt,60,1,7,2015-10-03,0.12,1,0
4375953,BIG BRIGHT ROOM w/ balcony & art,1294110,David,Mitte,Wedding Zentrum,52.53942,13.35037,Private room,40,1,95,2019-10-21,1.57,1,147
4380854,Beste Lage für Kunst und Kultur in Kreuzberg,22746819,Agnes,Friedrichshain-Kreuzberg,Südliche Friedrichstadt,52.50704,13.39978,Private room,45,2,207,2019-11-13,3.37,1,36
4383915,sunny 4 room apartment in Neukölln,11036820,Luise,Neukölln,Schillerpromenade,52.47322,13.42372,Entire home/apt,35,1,2,2016-01-02,0.03,1,0
4384843,1 R APARTMENT// HEART of Neukölln,22764487,Blla,Neukölln,Reuterstraße,52.48845,13.4384,Entire home/apt,100,1,36,2019-08-24,0.65,1,4
4385494,once upon a time,22767895,Fabio,Pankow,Prenzlauer Berg Nord,52.55159,13.42019,Entire home/apt,135,5,0,,,1,365
4385733,Roomy flat in the heart of Berlin,22768367,Martin,Pankow,Prenzlauer Berg Nordwest,52.54949,13.41216,Entire home/apt,85,4,36,2019-11-10,0.60,1,0
4385890,Very bright apartment next to Spreekanal.,22764401,Arber,Charlottenburg-Wilm.,Otto-Suhr-Allee,52.51878,13.31466,Entire home/apt,49,30,3,2017-08-25,0.11,1,0
4387741,Stylish & Tranquil,7249597,Daniel,Neukölln,Rixdorf,52.48461,13.4535,Entire home/apt,80,1,65,2019-10-22,1.12,1,337
4389587,Great Apartment for 2,22789487,Jasmin,Tempelhof - Schöneberg,Friedenau,52.47466,13.32744,Entire home/apt,45,7,3,2017-12-10,0.06,1,0
4391574,"2 schöne, große,helle Zimmer",22798067,Stefan,Pankow,Prenzlauer Berg Nordwest,52.55055,13.40766,Private room,39,2,1,2016-01-01,0.02,1,0
4391754,Spacious (120m²) typical old Berlin,22798878,Thomas,Mitte,Brunnenstr. Süd,52.53206,13.39655,Entire home/apt,69,3,4,2015-04-07,0.07,2,0
4393210,CHARMING FLAT IN STRATEGIC POSITION,22770815,Stefania,Charlottenburg-Wilm.,Kantstraße,52.50842,13.30746,Entire home/apt,60,180,1,2015-03-06,0.02,1,364
4401036,Sunny Attic Artist Studio,12670142,Maansi,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,52.51128,13.46769,Private room,115,3,9,2017-05-02,0.15,1,363
4402737,Comfortable artist´s city apartment,18642456,Yoshio,Mitte,Brunnenstr. Nord,52.54402,13.37841,Private room,46,1,340,2019-10-30,5.74,1,296
4403695,Helle Wohnung Berlin Prenzlauer Berg m. Balk,1937653,Carolina,Pankow,Prenzlauer Berg Nordwest,52.55363,13.41098,Entire home/apt,45,4,5,2018-10-26,0.13,1,6
4406052,FeWo Willem de Kooning ,939361,Wolfram,Pankow,Buch,52.63311,13.50093,Entire home/apt,60,1,32,2019-10-14,0.64,3,290
4406054,"cozy apartment, perfect for kids!",21772502,Wiebke,Neukölln,Reuterstraße,52.48399,13.42979,Entire home/apt,65,5,2,2017-04-20,0.06,1,0
4407465,*2 rooms in a shared flat in the heart of Xberg*,22878899,Katrin,Friedrichshain-Kreuzberg,Südliche Friedrichstadt,52.49792,13.41879,Private room,48,2,0,,,1,0
4407470,Stylish Neukölln Appartement,22877363,Stefano,Neukölln,Rixdorf,52.4721,13.44375,Entire home/apt,82,1,21,2019-10-13,0.37,1,330
4410151,"Hell, schön, ruhig und zentral",22890596,Philipp,Mitte,Wedding Zentrum,52.55606,13.38233,Entire home/apt,49,14,85,2019-08-10,1.60,1,0
4412456,Cozy Double Bed Apartment,22904515,Franz,Mitte,Osloer Straße,52.5514,13.39093,Entire home/apt,48,1,0,,,1,0
4415585,Small Room in Kreuzberg,22918924,Jes,Friedrichshain-Kreuzberg,südliche Luisenstadt,52.49606,13.43457,Private room,20,1,0,,,1,0
4415608,Lovely two bed room in Schoeneberg,7612325,Chantal,Tempelhof - Schöneberg,Friedenau,52.47759,13.34684,Private room,35,2,19,2015-08-02,0.32,2,0
4415891,Charming Apartment in the Heart of Berlin Mitte,22921132,Tatjana,Mitte,Brunnenstr. Nord,52.53843,13.39621,Private room,71,7,6,2019-10-04,0.39,1,358
4416248,Room in berlin Wedding,22922720,Nicolas,Mitte,Wedding Zentrum,52.55117,13.35578,Private room,30,1,0,,,1,0
4417725,Perfect location for going on holiday in Berlin,22930494,Barbara Annette,Mitte,Moabit West,52.52744,13.34188,Private room,22,3,2,2017-08-10,0.07,1,0
4419264,*Your own flat*38qm²*balcony*F'hain,22940183,Patrick,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,52.49858,13.46376,Entire home/apt,55,3,7,2017-01-02,0.14,1,0
4420593,Prenzlauer Berg - good location,22947090,Cecilia,Pankow,Prenzlauer Berg Ost,52.53526,13.44041,Entire home/apt,57,5,151,2019-11-04,2.55,1,150
4424125,1Room Beautiful Flat with Balcony,22693048,Saido,Charlottenburg-Wilm.,Düsseldorfer Straße,52.49757,13.33572,Entire home/apt,75,28,92,2019-08-22,1.51,1,61
4425822,Large 48 m² one-room apartment,22975945,Anne,Neukölln,Rudow,52.42564,13.50469,Entire home/apt,40,21,9,2019-01-31,0.16,1,226
4426246,"Easily accessible,best neighborhood",20326983,Michaela,Steglitz - Zehlendorf,Teltower Damm,52.43687,13.27283,Private room,75,14,27,2017-08-19,0.44,1,83
4428007,Fantastic view on Berlin Wall,22987218,Dieter,Mitte,Brunnenstr. Süd,52.53359,13.38705,Private room,64,2,278,2019-10-25,5.24,1,84
4432881,Very sunny flat in West Berlin,10559696,Sarah,Charlottenburg-Wilm.,Düsseldorfer Straße,52.49601,13.32539,Private room,25,3,5,2016-03-11,0.09,1,330
4435646,"Beautiful, light 60m2 apartment",16033428,Ben,Neukölln,Reuterstraße,52.48141,13.43706,Entire home/apt,70,5,9,2016-09-12,0.15,1,0
4442111,Neukölln aus der Vogelperspektive,20060686,Rosa,Neukölln,Schillerpromenade,52.47632,13.42396,Entire home/apt,100,4,6,2018-01-03,0.12,1,0
4446421,Soak up the Unique Vibe of an Expansive Artist's Loft,23075162,Mikki,Mitte,Tiergarten Süd,52.50149,13.36065,Entire home/apt,280,3,138,2019-10-13,2.31,1,316
